Station Name,Date (Local Standard Time),Air Temp. Min. (C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. ,Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Fine Fuel Moisture Code,Fine Fuel Moisture Code Source Flag,Fine Fuel Moisture Code Comment,Initial Spread Index,Initial Spread Index Source Flag,Initial Spread Index Comment
Jasper Warden,03-Oct-19,4.6,ACTUAL,100,9.9,ACTUAL,100,7.1,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],4,AGGREGATED,100,146.8,AGGREGATED,100,86.7,COMPUTED,CFFWIS model initialized from date Fri Sep 27 13:00:00 MDT 2019,3.4,COMPUTED,CFFWIS model initialized from date Fri Sep 27 13:00:00 MDT 2019
Jasper Warden,04-Oct-19,-1.2,ACTUAL,100,10.9,ACTUAL,100,5.3,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],3.9,AGGREGATED,100,178.6,AGGREGATED,100,86.8,COMPUTED,Computed for Fri Oct 04 13:00:00 MDT 2019,2.9,COMPUTED,Computed for Fri Oct 04 13:00:00 MDT 2019
Jasper Warden,05-Oct-19,3,ACTUAL,100,12.3,ACTUAL,100,7.2,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],5.5,AGGREGATED,100,185,AGGREGATED,100,87.6,COMPUTED,Computed for Sat Oct 05 13:00:00 MDT 2019,5.5,COMPUTED,Computed for Sat Oct 05 13:00:00 MDT 2019
Jasper Warden,06-Oct-19,1,ACTUAL,100,13.4,ACTUAL,100,7.4,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],7.4,AGGREGATED,100,167.6,AGGREGATED,100,88.2,COMPUTED,Computed for Sun Oct 06 13:00:00 MDT 2019,4.1,COMPUTED,Computed for Sun Oct 06 13:00:00 MDT 2019
Jasper Warden,07-Oct-19,-0.9,ACTUAL,100,14.3,ACTUAL,100,7.1,AGGREGATED,100,8,AGGREGATED,using element [Precip. Weighing],10,AGGREGATED,100,177.4,AGGREGATED,100,84.8,COMPUTED,Computed for Mon Oct 07 13:00:00 MDT 2019,3.1,COMPUTED,Computed for Mon Oct 07 13:00:00 MDT 2019
Jasper Warden,08-Oct-19,-6.5,ACTUAL,100,-0.7,ACTUAL,100,-3.4,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],12.9,AGGREGATED,100,350.5,AGGREGATED,100,43.1,COMPUTED,Computed for Tue Oct 08 13:00:00 MDT 2019,0.1,COMPUTED,Computed for Tue Oct 08 13:00:00 MDT 2019
Jasper Warden,09-Oct-19,-14.3,ACTUAL,100,2.5,ACTUAL,100,-5.5,AGGREGATED,100,0.2,AGGREGATED,using element [Precip. Weighing],5.8,AGGREGATED,100,119.1,AGGREGATED,100,59.5,COMPUTED,Computed for Wed Oct 09 13:00:00 MDT 2019,0.5,COMPUTED,Computed for Wed Oct 09 13:00:00 MDT 2019
Jasper Warden,10-Oct-19,-13.1,ACTUAL,100,7,ACTUAL,100,-4.3,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],5.9,AGGREGATED,100,120.4,AGGREGATED,100,73.4,COMPUTED,Computed for Thu Oct 10 13:00:00 MDT 2019,1,COMPUTED,Computed for Thu Oct 10 13:00:00 MDT 2019
Jasper Warden,11-Oct-19,-10.1,ACTUAL,100,10,ACTUAL,100,-1.3,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],6.5,AGGREGATED,100,152,AGGREGATED,100,81.7,COMPUTED,Computed for Fri Oct 11 13:00:00 MDT 2019,1.9,COMPUTED,Computed for Fri Oct 11 13:00:00 MDT 2019
Jasper Warden,12-Oct-19,-4.4,ACTUAL,100,7.6,ACTUAL,100,1.5,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],4.5,AGGREGATED,100,126.9,AGGREGATED,100,83.7,COMPUTED,Computed for Sat Oct 12 13:00:00 MDT 2019,2.2,COMPUTED,Computed for Sat Oct 12 13:00:00 MDT 2019
Jasper Warden,13-Oct-19,-0.5,ACTUAL,100,4,ACTUAL,100,2.1,AGGREGATED,100,3.7,AGGREGATED,using element [Precip. Weighing],2.8,AGGREGATED,100,124.1,AGGREGATED,100,80.2,COMPUTED,Computed for Sun Oct 13 13:00:00 MDT 2019,1.4,COMPUTED,Computed for Sun Oct 13 13:00:00 MDT 2019
Jasper Warden,14-Oct-19,-2.5,ACTUAL,100,5.4,ACTUAL,100,1,AGGREGATED,100,4.7,AGGREGATED,using element [Precip. Weighing],1.8,AGGREGATED,100,110.5,AGGREGATED,100,32.9,COMPUTED,Computed for Mon Oct 14 13:00:00 MDT 2019,0,COMPUTED,Computed for Mon Oct 14 13:00:00 MDT 2019
Jasper Warden,15-Oct-19,-3,ACTUAL,100,10.2,ACTUAL,100,2.9,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],6.3,AGGREGATED,100,145.3,AGGREGATED,100,55.7,COMPUTED,Computed for Tue Oct 15 13:00:00 MDT 2019,0.4,COMPUTED,Computed for Tue Oct 15 13:00:00 MDT 2019
Jasper Warden,16-Oct-19,1.2,ACTUAL,100,15.3,ACTUAL,100,7.7,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],7.7,AGGREGATED,100,163.6,AGGREGATED,100,74.6,COMPUTED,Computed for Wed Oct 16 13:00:00 MDT 2019,1,COMPUTED,Computed for Wed Oct 16 13:00:00 MDT 2019
